ชื่อหอพัก,ราคาเช่า / เดือน,ขนาดห้อง /ตร.ม,ระยะทางถึง มหาลัย / กม.,ระยะทางถึงขนส่ง / กม.,ระยะทางถึงร้านอาหาร / กม.,ที่จอดรถ (1/0),ค่าน้ำ / บาท,ค่าไฟ,เขตที่ตั้ง,มหาลัย (1/0),,Link
เคทีที แมนชั่น,"4,000",20,0.75,0.77,0.36,1,13.5,4.5,2,1,,https://url-shortener.me/2ERO
เคทีที แมนชั่น,"3,400",20,0.75,0.77,0.36,1,13.5,4.5,2,1,,https://url-shortener.me/2ERO
พี.ที. อพาร์ทเม้นท์ ลาดพร้าว,"3,800",25,2.3,1.3,2,1,17,7,2,1,,https://url-shortener.me/2ERP
บ้านสบาย,"3,500",24,1.3,0.77,0.75,0,13.5,4.5,3,1,,https://url-shortener.me/2ES6
พี-พาร์ค เรสซิเดนซ์,"5,000",15,2,0.18,0.72,1,20,8,3,1,,https://surl.li/myweeh
อาคารธนบูลย์นันทกุล,"4,000",30,1,0.4,0.02,0,13.5,4.5,2,1,,https://surl.lt/obeoca
อาคารธนบูลย์นันทกุล,"4,500",30,1,0.4,0.02,0,13.5,4.5,2,1,,https://surl.lt/obeoca
เอ.ซี แมนชั่น ใกล้ ม.หอการค้า,"5,800",33,0.57,1.7,1.1,1,17,8,1,0,,https://www.renthub.in.th/เอ-ซี-แมนชั่น-ใกล้-ม-หอการค้า
ธาราเพลส อพาร์ทเม้นท์,"2,700",18,3.7,0.45,1.9,1,17,7,2,1,,https://www.renthub.in.th/
ธัญธีร์ เพลส (ดอนเมือง) ,"4,100",26,3,2.1,1.1,1,18,8,3,0,,https://www.renthub.in.th/
เอสวีเพลส วิภาวดี ,"3,800",20,1.2,8.9,2.4,1,18,7,3,1,,https://www.renthub.in.th/
เสริมสุข หอพักนศ. ,"4,700",16,0.17,0.43,0.13,1,13.5,4.5,2,1,,https://www.renthub.in.th/
ขวัญดาว,"3,000",12,1.5,0.21,1.8,1,17,7,2,1,,https://www.renthub.in.th/
บ้านรัชนีกร,"3,900",24,4.1,0.6,0.28,1,18,7,2,1,,https://www.renthub.in.th/
อพาร์ทเม้นท์ เอกชัย,"2,000",16,4.7,0,0.92,1,20,8,3,1,,https://www.renthub.in.th/
มายทรี48,"4,200",22,2.2,0,2.1,1,18,7,2,1,,https://www.renthub.in.th/
บ้านสวนจินดา สไตล์รีสอร์ท,"3,300",25,3,0.47,0.19,1,20,8,2,0,,https://www.renthub.in.th/
เดอะลิฟวิ่ง เพชรเกษม,"2,899",27,4.2,0.72,,1,18,7,2,0,,https://www.renthub.in.th/
พชรเกษม 72 แมนชั่น,"3,800",28,4.2,0.7,0.39,1,17,7,2,0,,https://www.renthub.in.th/
ลักษมน อพาร์ทเม้นท์,"3,500",28,3.6,0.52,0.89,1,20,8,2,1,,https://www.renthub.in.th/
เดอะ บียอนด์ เรสซิเด้นท์,"5,000",26,2.7,1.7,2.4,1,20,8,1,0,,https://www.renthub.in.th/
เจริญแมนชั่น ลาดพร้าว 96 ,"3,200",26,2.2,0.9,1.1,1,18,7,2,1,,https://www.renthub.in.th/
เอส.พี.อพาทเมน ,"4,500",25,3,0.33,0.4,1,13.5,4.5,2,1,,https://www.renthub.in.th/
สุชัญญา เพลส ,"4,600",22,0.38,0.31,0.34,1,17,7,3,1,,https://shorturl.asia/KXd31
ลิขิต เพลส ,"3,000",26,2.2,0.4,0.08,1,20,8,2,1,,https://shorturl.asia/hTMoU
FiN83 (ลาดพร้าว 83),"3,500",17,1.7,0.1,0.13,1,12,4.5,2,1,,https://www.renthub.in.th/
กรรณิกาเพลส รามคำแหง 50,"3,700",24,2.7,1.9,1.2,1,18,7,2,1,,https://www.renthub.in.th/
อยู่เจริญ อพาร์ทเมนท์,"4,200",20,2.1,0.42,2,1,17,7,2,1,,https://www.renthub.in.th/
เดอะแกรนด์ แมนชั่น ,"4,500",30,4,0.76,1.4,1,17,6,1,1,,https://www.renthub.in.th/
ราชปรารภ ทาวเวอร์ แมนชั่น,"7,450",32,2.9,0.61,1.1,1,20,7,1,1,,https://url-shortener.me/2EUT
ธิติ ธาดา เสรีไทย 9,"3,000",17,1.9,0.81,1.3,1,18,7,2,1,,https://www.renthub.in.th/
ธิติ ธาดา เสรีไทย 9,"4,900",22,1.9,0.81,1.3,1,18,7,2,1,,https://www.renthub.in.th/
PK House,"5,500",18,2,0.78,0.78,1,17,7,1,0,,https://url-shortener.me/2EUX
โฮมแมนชั่น รามคำแหง 52 ​,"3,300",18,2.7,0.35,1.2,1,18,7,2,1,,https://www.renthub.in.th/
โฮมแมนชั่น รามคำแหง 52 ​,"3,800",24,2.7,0.35,1.2,1,18,7,2,1,,https://www.renthub.in.th/
A.N. Apartment - A.N. place,"4,600",23,0.95,1.4,2,1,13.5,4.5,2,1,,https://url-shortener.me/2EUY
ดีเฮาส์,"4,800",20,0.78,0.7,0.1,1,20,8,1,1,,https://url-shortener.me/2EV0
Cpattana,"6,000",20,0.38,0.34,0.1,1,19,7,1,1,,https://url-shortener.me/2EV6
สตูดิโอ เรสซิเด้นซ์,"5,900",20,2.7,0.69,1.6,1,19,7,1,0,,https://url-shortener.me/2EVO
บ้านเรือนอรุณ รามคำแหง,"4,000",25,1.6,1.4,1.4,1,13.5,4.5,2,1,,https://www.renthub.in.th/
บ้านเรือนอรุณ รามคำแหง,"4,500",30,1.6,1.4,1.4,1,13.5,4.5,2,1,,https://www.renthub.in.th/
Maethus Grand Suvarnabhumi,"5,400",25,0.83,3.4,0.7,1,20,8,3,0,,https://url-shortener.me/2EVW
เจริญสุข เรสซิเดนซ์,"6,500",22.5,0.848,0.02,0.52,1,19,8,1,1,,https://url-shortener.me/2FDV
สบาย เพลส,"4,500",21,3.9,12.3,1.2,1,15,8,3,1,,https://shorturl.asia/mcJdo
บ้าน ณ เอม อพาร์ทเม้นท์,"4,900",28,1.9,0.35,1.1,1,17,7,3,1,,
โฟร์ตี้ โฟร์เพลส อพาร์ทเมนท์,"4,300",24,1.7,0.5,0.22,1,17,8,2,1,,https://shorturl.asia/ArR7m
เรือนนวล รีสอร์ท ,"4,600",25.5,2,0.8,0.04,1,17,8,2,1,,https://shorturl.asia/Z6uEQ
เดอะรูม อพาร์ทเม้นท์,"4,500",25,1.1,0.79,0.03,1,17,8,2,1,,https://shorturl.asia/O3Ib7
เดอะรูม อพาร์ทเม้นท์,"4,900",25,1.1,0.79,0.03,1,17,8,2,1,,https://shorturl.asia/O3Ib7
เสริมศิลป์อพาร์ตเม้นท์,"6,500",22,2.4,0.4,0.1,0,13.5,4.5,1,1,,https://shorturl.asia/652vE
เสริมศิลป์อพาร์ตเม้นท์,"7,500",22,2.4,0.4,0.1,0,13.5,4.5,1,1,,https://shorturl.asia/652vE
เซนต์วิวเรสซิเดนซ์,"5,800",24,0.5,0.4,0.9,1,17,6.2,1,0,,https://shorturl.asia/rjO1f
เซนต์วิวเรสซิเดนซ์,"7,500",24,0.5,0.4,0.9,1,17,6.2,1,0,,https://shorturl.asia/rjO1f
หอพักสตรี โคซี่ บางกอก เพลส,"5,000",20,1.1,0.4,0.1,0,13.5,4.5,1,1,,https://shorturl.asia/y63Rq
จิตราภาแมนชั่น ,"5,500",35,2,1.8,0.78,1,17,7,1,1,,https://shorturl.asia/5aD3W
จิตราภาแมนชั่น,"7,500",35,2,1.8,0.78,1,17,7,1,1,,https://shorturl.asia/5aD3W
วันศิริแมนชั่น,"7,500",27,1.6,0.5,0.3,1,20,8,1,1,,https://shorturl.asia/dv64T
วันศิริแมนชั่น,"7,800",27,1.6,0.5,0.3,1,20,8,1,1,,https://shorturl.asia/dv64T
แกรนด์รีเจนท์ อพาร์ทเม้นท์,"4,000",35,2.1,0.63,0.84,1,20,8,2,1,,https://shorturl.asia/MOZXx
ร่มเย็น อพาร์ทเมนท์,"2,500",14,0.5,1.7,0.12,1,20,10,1,1,,https://shorturl.asia/rGtZm
ร่มเย็น อพาร์ทเมนท์,"3,500",14,0.5,1.7,0.12,1,20,10,1,1,,https://shorturl.asia/rGtZm
ราชการุญ พาร์ค เรสซิเดนส์ ,"4,500",20,0.99,1.5,0.37,1,18,8,2,1,,https://shorturl.asia/gP8y3
ราชการุญ พาร์ค เรสซิเดนส์ ,"6,000",20,0.99,1.5,0.37,1,18,8,2,1,,https://shorturl.asia/gP8y3
พระราม4เรสซิเด้นท์,"6,500",30,2.1,0.42,0.56,1,20,8,1,1,,https://shorturl.asia/GHVSX
พระราม4เรสซิเด้นท์,"7,500",30,2.1,0.42,0.56,1,20,8,1,1,,https://shorturl.asia/GHVSX
บ้านณิชชา พระราม 8,"5,000",22,1.1,1.1,1,1,18,8,2,1,,https://shorturl.asia/y5ktu
บ้านณิชชา พระราม 8,"5,500",26,1.1,1.1,1,1,18,8,2,1,,https://shorturl.asia/y5ktu
บ้านณิชชา พระราม 8,"6,000",30,1.1,1.1,1,1,18,8,2,1,,https://shorturl.asia/y5ktu
บีพี อพาร์ทเม้นท์,"6,000",45,0.4,0.5,0.01,1,18,8,2,1,,https://shorturl.asia/GNc1L
บีพี อพาร์ทเม้นท์,"4,200",25,0.4,0.5,0.01,1,18,8,2,1,,https://shorturl.asia/GNc1L
บีพี อพาร์ทเม้นท์,"3,500",25,0.4,0.5,0.01,1,18,8,2,1,,https://shorturl.asia/GNc1L
บีพี อพาร์ทเม้นท์,"3,200",20,0.4,0.5,0.01,1,18,8,2,1,,https://shorturl.asia/GNc1L
นิรันดร์ อพาร์ทเม้นท์,"3,500",20,3.3,1.9,2,1,20,8,3,1,,https://www.renthub.in.th/นิรันดร์-อพาร์ทเม้นท์--2
หอพักสตรีศิริภา รามคำแหง57 ,"3,500",15,0.54,0.1,1.1,0,17,7,2,1,,https://www.renthub.in.th/หอพักสตรีศิริภา-รามคำแหง57
ปุณทรัพย์,"2,300",24.5,0.33,0,1.2,1,12,6,3,1,,https://url-shortener.me/2L37
เจริญแมนชั่น ลาดพร้าว 96,"3,200",26,2.2,0.9,1.1,1,20,8,2,1,,https://url-shortener.me/2L3T
เกศรินทร์ อพาร์ทเม้นท์,"2,800",24,0.68,0.79,0.89,1,22,8,2,1,,
บ้านสุขศรีการ อพาร์ทเม้นท์,"2,800",24,1.8,1.3,0.55,1,22,8,2,1,,https://shorturl.asia/WiMU0
บ้านสุขศรีการ อพาร์ทเม้นท์,"3,300",36,1.8,1.3,0.55,1,22,8,2,1,,https://shorturl.asia/WiMU0
บ้านสุขศรีการ อพาร์ทเม้นท์,"3,500",36,1.8,1.3,0.55,1,22,8,2,1,,https://shorturl.asia/WiMU0
บ้านสุขศรีการ อพาร์ทเม้นท์,"3,700",24,1.8,1.3,0.55,1,22,8,2,1,,https://shorturl.asia/WiMU0
บ้านสุขศรีการ อพาร์ทเม้นท์,"4,200",36,1.8,1.3,0.55,1,22,8,2,1,,https://shorturl.asia/WiMU0
บ้านสุขศรีการ อพาร์ทเม้นท์,"4,200",24,1.8,1.3,0.55,1,22,8,2,1,,https://shorturl.asia/WiMU0
บ้านสุขศรีการ อพาร์ทเม้นท์,"4,400",36,1.8,1.3,0.55,1,22,8,2,1,,https://shorturl.asia/WiMU0
บ้านสุขศรีการ อพาร์ทเม้นท์,"4,900",24,1.8,1.3,0.55,1,22,8,2,1,,https://shorturl.asia/WiMU0
บ้านสุขศรีการ อพาร์ทเม้นท์,"5,100",36,1.8,1.3,0.55,1,22,8,2,1,,https://shorturl.asia/WiMU0
บ้านสุขศรีการ อพาร์ทเม้นท์,"6,400",28,1.8,1.3,0.55,1,22,8,2,1,,https://shorturl.asia/WiMU0
บ้านสุขศรีการ อพาร์ทเม้นท์,"5,700",28,1.8,1.3,0.55,1,22,8,2,1,,https://shorturl.asia/WiMU0
บ้านสุขศรีการ อพาร์ทเม้นท์,"8,100",52,1.8,1.3,0.55,1,22,8,2,1,,https://shorturl.asia/WiMU0
บ้านสุขศรีการ อพาร์ทเม้นท์,"7,400",52,1.8,1.3,0.55,1,22,8,2,1,,https://shorturl.asia/WiMU0
มาร์เบิลเฮ้าส์,"4,600",24,2.6,0.76,2.6,1,18,8,3,0,,https://www.renthub.in.th/มาร์เบิลเฮ้าส์
มาร์เบิลเฮ้าส์,"4,700",26,2.6,0.76,2.6,1,18,8,3,0,,https://www.renthub.in.th/มาร์เบิลเฮ้าส์
มาร์เบิลเฮ้าส์,"5,000",24,3.6,0.76,3.6,1,18,8,3,0,,https://www.renthub.in.th/มาร์เบิลเฮ้าส์
